time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348071530935,0.0106344,0.0139361,1.48071,0.0258816,0,0,-0.000412761,-0.000400473,0,0.000161531,-0.000339679,0,
1468348071540973,0.01043,0.014049,1.48116,0.0258816,0,0,-0.000153945,-0.000400473,0,0.000158698,-0.000343684,0,
1468348071551011,0.0105251,0.0140206,1.48164,0.0258816,0,0,0.00010487,-0.000400473,0,0.000158452,-0.000347688,0,
1468348071561047,0.0104981,0.014016,1.48238,-0.00664535,0,0,0.000201051,-0.000400473,0,0.000159982,-0.000351693,0,
1468348071571083,0.0101534,0.0142185,1.48384,-0.0591289,0,0,-0.00012782,-0.000400473,0,0.000160348,-0.000355698,0,
1468348071581119,0.00952987,0.0147099,1.48574,-0.0255419,-0.0327608,0,-0.000551173,-0.000564277,0,0.000156953,-0.000360522,0,
1468348071591155,0.011162,0.0137314,1.48773,0.00938167,-0.0606835,0,-0.000631974,-0.0010315,0,0.000151037,-0.000368501,0,
1468348071601189,0.0144572,0.0116727,1.48956,0.00938167,-0.0606835,0,-0.000538158,-0.00163833,0,0.000145187,-0.00038185,0,
1468348071611226,0.016536,0.0104052,1.49062,0.00938167,-0.0318233,-0.0305442,-0.000444341,-0.00210087,-0.000152721,0.000140274,-0.000400546,-7.63605e-07,
1468348071621260,0.016021,0.0108467,1.49128,0.00938167,-0.0318233,-0.0305442,-0.000350524,-0.0024191,-0.000458163,0.0001363,-0.000423146,-3.81802e-06,
1468348071631299,0.015476,0.0112668,1.49146,0.00938167,-0.0318233,-0.0305442,-0.000256708,-0.00273733,-0.000763605,0.000133264,-0.000448928,-9.92686e-06,
1468348071641334,0.0153064,0.0114347,1.49128,0.00938167,-0.0318233,-0.0305442,-0.000162891,-0.00305557,-0.00106905,0.000131166,-0.000477892,-1.90901e-05,
1468348071651375,0.0148339,0.0117567,1.49076,0.00938167,-0.0318233,-0.0305442,-6.9074e-05,-0.0033738,-0.00137449,0.000130006,-0.000510039,-3.13078e-05,
1468348071661412,0.0145826,0.0118597,1.49027,0.00938167,-0.0634899,-0.0305442,2.47427e-05,-0.00385037,-0.00167993,0.000129784,-0.00054616,-4.65799e-05,
1468348071671451,0.0145796,0.0118008,1.49002,0.00938167,-0.0907437,-0.072207,0.000118559,-0.00462153,-0.00219369,0.000130501,-0.000588519,-6.5948e-05,
1468348071681485,0.0157797,0.0108807,1.49025,0.00938167,-0.0907437,-0.136281,0.000212376,-0.00552897,-0.00323613,0.000132155,-0.000639272,-9.3097e-05,
1468348071691522,0.0161463,0.0105727,1.49073,0.0350251,-0.0907437,-0.204472,0.00043441,-0.00643641,-0.00493989,0.000135389,-0.000699099,-0.000133977,
1468348071701556,0.0163963,0.0104267,1.49097,0.0350251,-0.0907437,-0.273119,0.000784661,-0.00734384,-0.00732785,0.000141485,-0.000768,-0.000195316,
1468348071711594,0.0157535,0.010935,1.49097,0.0350251,-0.0907437,-0.273119,0.00113491,-0.00825128,-0.010059,0.000151083,-0.000845976,-0.00028225,
1468348071721628,0.0141224,0.0120975,1.49102,0.0350251,-0.0907437,-0.273119,0.00148516,-0.00915872,-0.0127902,0.000164183,-0.000933026,-0.000396497,
1468348071731667,0.0116988,0.0137661,1.49094,0.0350251,-0.0907437,-0.273119,0.00183541,-0.0100662,-0.0155214,0.000180786,-0.00102915,-0.000538055,
1468348071741703,0.00927821,0.0154321,1.49099,0.0350251,-0.0907437,-0.273119,0.00218567,-0.0109736,-0.0182526,0.000200891,-0.00113435,-0.000706925,
