time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348628955269,0.0130082,0.0110655,1.39382,0,0,0,0,0,0,0,0,0,
1468348628965306,0.0130298,0.0110253,1.39417,0,-0.0615687,0,0,-0.000307843,0,0,-1.53922e-06,0,
1468348628975342,0.0141839,0.010167,1.3951,0.0601713,-0.12169,0,0.000300856,-0.00122414,0,1.50428e-06,-9.19911e-06,0,
1468348628985380,0.015987,0.00893041,1.39771,0.151242,-0.20596,0,0.00135792,-0.00286238,0,9.79818e-06,-2.96317e-05,0,
1468348628995418,0.0174614,0.00796876,1.40132,0.151242,-0.262411,0,0.00287034,-0.00520424,0,3.09395e-05,-6.99648e-05,0,
1468348629005457,0.0194175,0.00643959,1.40707,0.151242,-0.229258,-0.0290825,0.00438277,-0.00766258,-0.000145413,6.72051e-05,-0.000134299,-7.27063e-07,
1468348629015495,0.0187016,0.00669775,1.4109,0.122523,-0.138637,-0.0290825,0.00575159,-0.00950206,-0.000436238,0.000117877,-0.000220122,-3.63532e-06,
1468348629025539,0.0185441,0.00660302,1.41415,0.122523,-0.0445136,-0.0290825,0.00697683,-0.0104178,-0.000727063,0.000181519,-0.000319721,-9.45182e-06,
1468348629035574,0.0174384,0.00733684,1.4162,0.09053,-0.0445136,-0.0290825,0.00804209,-0.0108629,-0.00101789,0.000256614,-0.000426125,-1.81766e-05,
1468348629045608,0.0153237,0.00886081,1.41757,0.09053,-0.0445136,-0.0290825,0.00894739,-0.0113081,-0.00130871,0.000341561,-0.00053698,-2.98096e-05,
1468348629055645,0.0136385,0.0101097,1.41787,0.09053,-0.0445136,-0.0290825,0.00985269,-0.0117532,-0.00159954,0.000435561,-0.000652287,-4.43509e-05,
1468348629065681,0.0130487,0.010599,1.41764,0.09053,-0.0445136,-0.0290825,0.010758,-0.0121984,-0.00189036,0.000538615,-0.000772045,-6.18004e-05,
1468348629075720,0.0128302,0.0107144,1.41728,0.09053,-0.0445136,-0.0290825,0.0116633,-0.0126435,-0.00218119,0.000650721,-0.000896254,-8.21582e-05,
1468348629085759,0.01275,0.0107035,1.41731,0.09053,-0.0445136,-0.0290825,0.0125686,-0.0130886,-0.00247202,0.000771881,-0.00102491,-0.000105424,
1468348629095872,0.0131059,0.0104553,1.41754,0.09053,-0.0445136,-0.0290825,0.0134739,-0.0135338,-0.00276284,0.000902093,-0.00115803,-0.000131598,
1468348629105910,0.013905,0.00995978,1.41768,0.09053,-0.0445136,-0.0290825,0.0143792,-0.0139789,-0.00305367,0.00104136,-0.00129559,-0.000160681,
1468348629115947,0.0134986,0.0103135,1.41761,0.09053,0.00974632,-0.0290825,0.0152845,-0.0141527,-0.00334449,0.00118968,-0.00143625,-0.000192672,
1468348629125986,0.0124319,0.0111325,1.41585,0.09053,0.00974632,-0.0290825,0.0161898,-0.0140553,-0.00363532,0.00134705,-0.00157729,-0.000227571,
1468348629136024,0.0117012,0.0116361,1.41253,0.09053,0.00974632,-0.0290825,0.0170951,-0.0139578,-0.00392614,0.00151347,-0.00171735,-0.000265378,
1468348629146061,0.0114048,0.011819,1.40982,0.09053,0.00974632,-0.0290825,0.0180004,-0.0138603,-0.00421697,0.00168895,-0.00185644,-0.000306094,
1468348629156098,0.0112085,0.0119507,1.40827,0.09053,0.00974632,-0.0290825,0.0189057,-0.0137629,-0.00450779,0.00187348,-0.00199456,-0.000349718,
1468348629166135,0.0110514,0.0120895,1.40832,0.09053,0.071315,-0.0290825,0.019811,-0.0133576,-0.00479862,0.00206706,-0.00213016,-0.00039625,
1468348629176173,0.0112206,0.0119747,1.40843,0.0303587,0.131436,-0.0290825,0.0204154,-0.0123438,-0.00508944,0.0022682,-0.00225867,-0.00044569,
1468348629186211,0.0111146,0.0121091,1.40848,-0.0607121,0.215706,-0.0290825,0.0202637,-0.0106081,-0.00538027,0.00247159,-0.00237343,-0.000498038,
1468348629196247,0.0112258,0.0120965,1.40868,-0.0607121,0.272157,-0.0290825,0.0196566,-0.00816879,-0.00567109,0.00267119,-0.00246731,-0.000553295,
1468348629206284,0.0110911,0.0122281,1.40927,-0.0607121,0.239004,0,0.0190494,-0.00561298,-0.00581651,0.00286472,-0.00253622,-0.000610733,
1468348629216322,0.0110654,0.0122725,1.40989,-0.0319932,0.148383,0,0.0185859,-0.00367605,-0.00581651,0.0030529,-0.00258267,-0.000668898,
1468348629226360,0.0105365,0.0126858,1.41017,-0.0319932,0.0542599,0,0.018266,-0.00266283,-0.00581651,0.00323716,-0.00261436,-0.000727063,
1468348629236397,0.00977967,0.0132694,1.40973,0,0.0542599,0,0.018106,-0.00212023,-0.00581651,0.00341902,-0.00263828,-0.000785228,
1468348629246432,0.00890168,0.0139978,1.40816,0,0.0542599,0,0.018106,-0.00157763,-0.00581651,0.00360008,-0.00265677,-0.000843394,
1468348629256470,0.00844054,0.0143941,1.40711,0,0.0542599,0,0.018106,-0.00103503,-0.00581651,0.00378114,-0.00266983,-0.000901559,
1468348629266506,0.00796857,0.0148015,1.40699,0.0345774,0.0542599,0,0.0182789,-0.000492433,-0.00581651,0.00396306,-0.00267747,-0.000959724,
1468348629276549,0.00866356,0.0144445,1.40656,0.0345774,0.0542599,0,0.0186247,5.01668e-05,-0.00581651,0.00414758,-0.00267968,-0.00101789,
1468348629286587,0.00940308,0.0140042,1.40566,0.0345774,0.0542599,0,0.0189704,0.000592766,-0.00581651,0.00433556,-0.00267646,-0.00107605,
1468348629296630,0.0102891,0.0134244,1.40441,0.0345774,0.0542599,0,0.0193162,0.00113537,-0.00581651,0.00452699,-0.00266782,-0.00113422,
1468348629306666,0.0123907,0.0118484,1.4028,0.0345774,0.0542599,0,0.019662,0.00167796,-0.00581651,0.00472188,-0.00265376,-0.00119238,
1468348629316703,0.0144867,0.0102144,1.40111,0.0345774,0,0,0.0200078,0.00194926,-0.00581651,0.00492023,-0.00263562,-0.00125055,
1468348629326741,0.0160663,0.00901205,1.39942,0.0345774,0,-0.0351924,0.0203535,0.00194926,-0.00599247,0.00512204,-0.00261613,-0.00130959,
