time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032520964,-0.00878906,0.0151367,0.923828,0.002196,0.031476,0.966972,0.00491094,0.00243672,0.986828,-0.002404,0.006376,0.971272,0,0,0,0,0,0,0,0,0,
1468176032527024,-0.0205078,0.0244141,0.92041,0.004392,0.044652,0.964776,-0.00680781,0.0117141,0.98341,-0.000208,0.019552,0.969076,0,0,0,0,0,0,0,0,0,
1468176032533086,-0.015625,0.0151367,0.933105,0.001464,0.04758,0.966972,-0.001925,0.00243672,0.996105,-0.003136,0.02248,0.971272,0,0,0,0,0,0,0,0,0,
1468176032539148,-0.0170898,0.0234375,0.929199,-0.002928,0.049776,0.968436,-0.00338984,0.0107375,0.992199,-0.007528,0.024676,0.972736,0,0,0,0,0,0,0,0,0,
1468176032545214,-0.0185547,0.0180664,0.920898,-0.006588,0.042456,0.9699,-0.00485469,0.00536641,0.983898,-0.011188,0.017356,0.9742,0,0,0,0,0,0,0,0,0,
1468176032551275,-0.00976562,0.0288086,0.934082,0.000732,0.048312,0.972828,0.00393438,0.0161086,0.997082,-0.003868,0.023212,0.977128,0,0,0,0,0,0,0,0,0,
1468176032557337,-0.00732422,0.012207,0.916504,0.00366,0.046848,0.972096,0.00637578,-0.000492969,0.979504,-0.00094,0.021748,0.976396,0,0,0,0,0,0,0,0,0,
1468176032563397,-0.012207,0.0161133,0.931152,-0.00366,0.040992,0.969168,0.00149297,0.00341328,0.994152,-0.00826,0.015892,0.973468,0,0,0,0,0,0,0,0,0,
1468176032569458,-0.0131836,0.0131836,0.930176,0.004392,0.048312,0.981612,0.000516406,0.000483594,0.993176,-0.000208,0.023212,0.985912,0,0,0,0,0,0,0,0,0,
1468176032575518,-0.00683594,0.0239258,0.929688,-0.000732,0.048312,0.972828,0.00686406,0.0112258,0.992688,-0.005332,0.023212,0.977128,0,0,0,0,0,0,0,0,0,
1468176032581578,-0.0117188,0.0151367,0.92334,0.005124,0.049776,0.976488,0.00198125,0.00243672,0.98634,0.000524,0.024676,0.980788,0,0,0,0,0,0,0,0,0,
1468176032587638,-0.00927734,0.0141602,0.929199,0.005124,0.05124,0.9699,0.00442266,0.00146016,0.992199,0.000524,0.02614,0.9742,0,0,0,0,0,0,0,0,0,
1468176032593701,-0.0136719,0.0249023,0.923828,0.000732,0.05124,0.976488,2.81241e-05,0.0122023,0.986828,-0.003868,0.02614,0.980788,0,0,0,0,0,0,0,0,0,
1468176032599760,-0.0185547,0.0161133,0.929199,0.004392,0.046116,0.972096,-0.00485469,0.00341328,0.992199,-0.000208,0.021016,0.976396,0,0,0,0,0,0,0,0,0,
1468176032605826,-0.0161133,0.019043,0.917969,0.000732,0.050508,0.979416,-0.00241328,0.00634297,0.980969,-0.003868,0.025408,0.983716,0,0,0,0,0,0,0,0,0,
1468176032611896,-0.00585938,0.0253906,0.923828,-0.005124,0.04026,0.97722,0.00784063,0.0126906,0.986828,-0.009724,0.01516,0.98152,0,0,0,0,0,0,0,0,0,
1468176032617955,-0.00878906,0.0288086,0.921875,0.001464,0.046116,0.97356,0.00491094,0.0161086,0.984875,-0.003136,0.021016,0.97786,0,0,0,0,0,0,0,0,0,
1468176032624033,-0.0107422,0.0224609,0.92334,0.000732,0.045384,0.974292,0.00295781,0.00976094,0.98634,-0.003868,0.020284,0.978592,0,0,0,0,0,0,0,0,0,
1468176032630091,-0.015625,0.0214844,0.920898,0.18666,0.04758,0.972828,-0.001925,0.00878438,0.983898,0.18206,0.02248,0.977128,0,-0.309454,0,0,0,0,0,0,0,
1468176032636175,-0.0078125,0.0219727,0.911133,0.002928,0.04026,0.977952,0.0058875,0.00927266,0.974133,-0.001672,0.01516,0.982252,0,-0.319756,0,0,0,0,0,0,0,
1468176032642259,-0.0146484,0.0205078,0.928711,0.001464,0.051972,0.968436,-0.000948437,0.00780781,0.991711,-0.003136,0.026872,0.972736,0,-0.317627,0,0,0,0,0,0,0,
1468176032648323,-0.0107422,0.0161133,0.91748,0.00366,0.04758,0.975024,0.00295781,0.00341328,0.98048,-0.00094,0.02248,0.979324,0,-0.317892,0,0,0,0,0,0,0,
1468176032654469,-0.0175781,0.0288086,0.931152,0.002928,0.048312,0.972828,-0.00387812,0.0161086,0.994152,-0.001672,0.023212,0.977128,0,-0.313383,0,0,0,0,0,0,0,
1468176032660528,-0.0107422,0.0209961,0.931152,0.000732,0.044652,0.97722,0.00295781,0.00829609,0.994152,-0.003868,0.019552,0.98152,0,0,0,0,0,0,0,0,0,
1468176032666607,-0.0078125,0.0224609,0.932617,0.00366,0.053436,0.9699,0.0058875,0.00976094,0.995617,-0.00094,0.028336,0.9742,0,0,0,0,0,0,0,0,0,
1468176032672681,-0.00830078,0.0146484,0.924316,-0.006588,0.046116,0.970632,0.00539922,0.00194844,0.987316,-0.011188,0.021016,0.974932,0,0,0,0,0,0,0,0,0,
1468176032678740,-0.00488281,0.0180664,0.918945,0.000732,0.052704,0.975024,0.00881719,0.00536641,0.981945,-0.003868,0.027604,0.979324,0,0,0,0,0,0,0,0,0,
1468176032684798,-0.0151367,0.0224609,0.921387,-0.006588,0.053436,0.972828,-0.00143672,0.00976094,0.984387,-0.011188,0.028336,0.977128,0,0,0,0,0,0,0,0,0,
1468176032690859,-0.00634766,0.0239258,0.933105,0.001464,0.049044,0.976488,0.00735234,0.0112258,0.996105,-0.003136,0.023944,0.980788,0,0,0,0,0,0,0,0,0,
1468176032696919,-0.0224609,0.0249023,0.918457,0.002196,0.051972,0.975756,-0.00876094,0.0122023,0.981457,-0.002404,0.026872,0.980056,0,0,0,0,0,0,0,0,0,
1468176032702995,-0.0214844,0.0151367,0.924805,0.004392,0.04758,0.967704,-0.00778437,0.00243672,0.987805,-0.000208,0.02248,0.972004,0,0,0,0,0,0,0,0,0,
1468176032709055,-0.0170898,0.0161133,0.926758,-0.00366,0.035136,0.978684,-0.00338984,0.00341328,0.989758,-0.00826,0.010036,0.982984,0,0,0,0,0,0,0,0,0,
1468176032715147,-0.00976562,0.0146484,0.933594,0.000732,0.050508,0.971364,0.00393438,0.00194844,0.996594,-0.003868,0.025408,0.975664,0,0,0,0,0,0,0,0,0,
1468176032721209,-0.000976562,0.019043,0.929199,-0.006588,0.044652,0.977952,0.0127234,0.00634297,0.992199,-0.011188,0.019552,0.982252,0,0,0,0,0,0,0,0,0,
1468176032727270,-0.0112305,0.0146484,0.925781,0.005124,0.040992,0.980148,0.00246953,0.00194844,0.988781,0.000524,0.015892,0.984448,0,0,0,0,0,0,0,0,0,
1468176032733333,-0.0112305,0.0253906,0.930664,-0.001464,0.041724,0.971364,0.00246953,0.0126906,0.993664,-0.006064,0.016624,0.975664,0,0,0,0,0,0,0,0,0,
1468176032739395,-0.00634766,0.0170898,0.92041,0.004392,0.048312,0.982344,0.00735234,0.00438984,0.98341,-0.000208,0.023212,0.986644,0,0,0,0,0,0,0,0,0,
1468176032745460,-0.00927734,0.0249023,0.925781,0.002196,0.04026,0.974292,0.00442266,0.0122023,0.988781,-0.002404,0.01516,0.978592,0,0,0,0,0,0,0,0,0,
1468176032751519,-0.00634766,0.0253906,0.928223,0.002928,0.040992,0.975756,0.00735234,0.0126906,0.991223,-0.001672,0.015892,0.980056,0,0,0,0,0,0,0,0,0,
