time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348801836980,0.00836439,0.0123116,1.36742,0.157755,-0.0119673,0,0.0145459,-0.0261616,-0.0123974,0.0068755,-0.00658889,-0.00304961,
1468348801847019,0.00853841,0.0123401,1.36473,0.187738,-0.0860561,-0.0796181,0.0162734,-0.0266517,-0.0127955,0.00702959,-0.00685296,-0.00317557,
1468348801857056,0.0097454,0.0117908,1.35998,0.187738,-0.0860561,-0.0527362,0.0181507,-0.0275123,-0.0134573,0.00720171,-0.00712378,-0.00330683,
1468348801867094,0.0113189,0.0107601,1.35554,0.187738,-0.0860561,-0.0527362,0.0200281,-0.0283729,-0.0139846,0.00739261,-0.0074032,-0.00344404,
1468348801877131,0.0120619,0.0102681,1.35114,0.22416,-0.0860561,-0.0527362,0.0220876,-0.0292334,-0.014512,0.00760319,-0.00769123,-0.00358653,
1468348801887167,0.0130699,0.0101462,1.34699,0.251131,-0.0860561,-0.0237175,0.0244641,-0.030094,-0.0148943,0.00783594,-0.00798787,-0.00373356,
1468348801897210,0.015045,0.00991166,1.34326,0.251131,-0.0860561,0.00716028,0.0269754,-0.0309545,-0.0149771,0.00809314,-0.00829311,-0.00388291,
1468348801907247,0.0179372,0.0105424,1.33958,0.30972,-0.0860561,0.0503045,0.0297796,-0.0318151,-0.0146897,0.00837692,-0.00860696,-0.00403125,
1468348801917283,0.0225432,0.0110526,1.33555,0.337535,-0.0860561,0.0503045,0.0330159,-0.0326757,-0.0141867,0.00869089,-0.00892942,-0.00417563,
1468348801927320,0.027652,0.0113422,1.33131,0.362791,-0.0860561,0.0503045,0.0365175,-0.0335362,-0.0136836,0.00903856,-0.00926048,-0.00431498,
1468348801937357,0.0326463,0.0115663,1.32709,0.394512,-0.0860561,0.0503045,0.040304,-0.0343968,-0.0131806,0.00942267,-0.00960014,-0.0044493,
1468348801947394,0.0377759,0.0105597,1.3229,0.394512,-0.113447,0.00599643,0.0442492,-0.0353943,-0.0128991,0.00984543,-0.0099491,-0.0045797,
1468348801957431,0.0427119,0.00890312,1.31908,0.428822,-0.0638847,0.0468905,0.0483658,-0.036281,-0.0126347,0.0103085,-0.0103075,-0.00470737,
1468348801967471,0.047183,0.00894669,1.31589,0.46891,-0.0638847,0.0468905,0.0528545,-0.0369198,-0.0121658,0.0108146,-0.0106735,-0.00483137,
1468348801977508,0.0521036,0.00949469,1.31384,0.523512,-0.0558835,0.0468905,0.0578166,-0.0375187,-0.0116968,0.011368,-0.0110457,-0.00495069,
1468348801987546,0.0582361,0.00881394,1.31231,0.578558,-0.0558835,0.0468905,0.063327,-0.0380775,-0.0112279,0.0119737,-0.0114236,-0.00506531,
1468348801997583,0.0652811,0.00842289,1.31149,0.624731,-0.0822527,0.0967203,0.0693434,-0.0387682,-0.0105099,0.012637,-0.0118079,-0.005174,
1468348802007620,0.0736096,0.00858476,1.31208,0.624731,-0.132629,0.0967203,0.0755907,-0.0398426,-0.00954268,0.0133617,-0.0122009,-0.00527426,
1468348802017655,0.0833003,0.0085443,1.31418,0.55125,-0.167761,0.0967203,0.0814706,-0.0413445,-0.00857548,0.014147,-0.0126069,-0.00536485,
1468348802027692,0.092151,0.00912798,1.31751,0.419728,-0.194279,0.0447383,0.0863255,-0.0431547,-0.00786819,0.014986,-0.0130294,-0.00544707,
1468348802037729,0.0990673,0.0105648,1.32164,0.341647,-0.194279,-0.052824,0.0901324,-0.0450975,-0.00790862,0.0158683,-0.0134706,-0.00552595,
1468348802047769,0.101937,0.0123006,1.32509,0.311664,-0.12019,0.0535508,0.0933989,-0.0466699,-0.00790498,0.0167859,-0.0139295,-0.00560502,
1468348802057805,0.106727,0.0153253,1.32871,0.255625,-0.169328,0.0266688,0.0962354,-0.0481174,-0.00750389,0.0177341,-0.0144034,-0.00568207,
1468348802067842,0.110206,0.0184406,1.33301,0.255625,-0.169328,-0.035207,0.0987916,-0.0498107,-0.00754658,0.0187092,-0.014893,-0.00575732,
1468348802077878,0.113448,0.0212163,1.33687,0.219203,-0.169328,-0.035207,0.101166,-0.051504,-0.00789865,0.019709,-0.0153996,-0.00583455,
1468348802087916,0.115996,0.0233065,1.33978,0.192232,-0.169328,-0.0642256,0.103223,-0.0531973,-0.00839581,0.020731,-0.0159231,-0.00591602,
1468348802097952,0.118562,0.0251549,1.34126,0.166261,-0.169328,-0.0951034,0.105015,-0.0548906,-0.00919245,0.0217722,-0.0164636,-0.00600396,
1468348802107990,0.120999,0.0270982,1.3418,0.0766289,-0.169328,-0.138248,0.10623,-0.0565839,-0.0103592,0.0228284,-0.0170209,-0.00610172,
1468348802118026,0.12294,0.0298361,1.3417,0.0147249,-0.169328,-0.138248,0.106687,-0.0582771,-0.0117417,0.023893,-0.0175952,-0.00621222,
1468348802128063,0.124065,0.0326451,1.34129,-0.0434247,-0.169328,-0.138248,0.106543,-0.0599704,-0.0131242,0.0249591,-0.0181865,-0.00633655,
1468348802138100,0.124281,0.0345937,1.34073,-0.102499,-0.199766,-0.138248,0.105814,-0.0618159,-0.0145066,0.0260209,-0.0187954,-0.00647471,
1468348802148140,0.123655,0.0345913,1.33998,-0.133617,-0.211315,-0.0939396,0.104633,-0.0638713,-0.0156676,0.0270731,-0.0194238,-0.00662558,
1468348802158183,0.122619,0.0325355,1.33949,-0.203557,-0.260877,-0.134834,0.102947,-0.0662323,-0.0168114,0.028111,-0.0200744,-0.00678797,
1468348802168220,0.120768,0.0290785,1.33979,-0.283365,-0.260877,-0.134834,0.100512,-0.068841,-0.0181598,0.0291283,-0.0207497,-0.00696283,
1468348802178257,0.118029,0.0247942,1.34113,-0.400208,-0.230394,-0.16239,0.0970946,-0.0712974,-0.0196459,0.0301164,-0.0214504,-0.00715186,
1468348802188294,0.113794,0.0195851,1.34375,-0.49079,-0.230394,-0.16239,0.0926396,-0.0736013,-0.0212698,0.031065,-0.0221749,-0.00735643,
1468348802198330,0.108512,0.0143059,1.34685,-0.536963,-0.204025,-0.240796,0.0875008,-0.0757734,-0.0232857,0.0319657,-0.0229218,-0.00757921,
1468348802208368,0.103854,0.00942148,1.34916,-0.536963,-0.153649,-0.286051,0.0821312,-0.0775618,-0.02592,0.0328139,-0.0236885,-0.00782524,
1468348802218404,0.0977629,0.00401753,1.35006,-0.426367,-0.118516,-0.32433,0.0773145,-0.0789226,-0.0289719,0.0336111,-0.0244709,-0.0080997,
1468348802228441,0.0916199,-0.00196141,1.34824,-0.312612,-0.118516,-0.272348,0.0736197,-0.0801078,-0.0319553,0.0343658,-0.025266,-0.00840434,
1468348802238478,0.0879575,-0.00886024,1.34504,-0.358139,-0.118516,-0.174786,0.0702659,-0.0812929,-0.0341909,0.0350852,-0.026073,-0.00873507,
1468348802248515,0.0839486,-0.0149434,1.34216,-0.327494,-0.118516,-0.201542,0.0668377,-0.0824781,-0.0360726,0.0357708,-0.0268919,-0.00908638,
1468348802258552,0.081391,-0.020417,1.3394,-0.245736,-0.0693777,-0.201542,0.0639716,-0.0834176,-0.038088,0.0364248,-0.0277214,-0.00945719,
1468348802268589,0.0799175,-0.0235763,1.33744,-0.210542,-0.0693777,-0.139666,0.0616902,-0.0841113,-0.039794,0.0370531,-0.028559,-0.0098466,
1468348802278629,0.0796722,-0.0248484,1.33606,-0.176498,-0.0693777,-0.114487,0.059755,-0.0848051,-0.0410648,0.0376603,-0.0294036,-0.0102509,
1468348802288667,0.0806764,-0.0240156,1.33516,-0.141764,-0.0693777,-0.114487,0.0581637,-0.0854989,-0.0422097,0.0382499,-0.0302551,-0.0106673,
