time, attx, atty, attz, accx, accy, accz, acc_raw1x, acc_raw1y, acc_raw1z, acc_raw2x, acc_raw2y, acc_raw2z, velx, vely, velz, vel_raw1x, vel_raw1y, vel_raw1z, vel_raw2x, vel_raw2y, vel_raw2z, locx, locy, locz, loc_raw1x, loc_raw1y, loc_raw1z, loc_raw2x, loc_raw2y, loc_raw2z,
1468353515377732,0.0125929,0.0263903,1.49678,0,0,0,0.215093,-0.168899,-0.162191,0.0602125,-0.228101,-0.107559,0,0,0,8.8697,-6.38072,-3.75541,3.18366,-13.4494,-3.1787,0,0,0,1.32134,-0.992474,-0.409988,0.410389,-2.0419,-0.443826,
1468353515387768,0.012626,0.0264269,1.49843,0,0,0,0.234614,-0.123733,-0.0629992,0.0418479,-0.209418,-0.014381,0,0,0,9.31941,-6.67336,-3.9806,3.28572,-13.8869,-3.30064,0,0,0,1.41228,-1.05774,-0.448668,0.442736,-2.17859,-0.476223,
1468353515397806,0.0126565,0.0264516,1.49991,0,0,0,0.157319,-0.0737923,-0.0391817,0.115491,-0.192953,-0.0230307,0,0,0,9.71134,-6.87088,-4.08278,3.44306,-14.2893,-3.33806,0,0,0,1.50744,-1.12547,-0.488985,0.47638,-2.31947,-0.509416,
1468353515407843,0.0126921,0.0264638,1.50154,0,0,0,0.201684,-0.14228,0.0146294,0.0701702,-0.119054,-0.0816975,0,0,0,10.0703,-7.08695,-4.10733,3.62872,-14.6013,-3.44278,0,0,0,1.60635,-1.19525,-0.529935,0.511739,-2.46392,-0.543321,
1468353515417880,0.0127222,0.0264715,1.503,0,0,0,0.0614781,-0.0939445,0.0154361,0.0522546,-0.181804,-0.0582809,0,0,0,10.3335,-7.32318,-4.07727,3.75115,-14.9021,-3.58276,0,0,0,1.70837,-1.26731,-0.570858,0.548638,-2.61144,-0.578448,
1468353515427917,0.0127499,0.0265029,1.50454,0,0,0,0.158259,-0.162097,0.0253776,0.0570319,-0.225058,-0.0644032,0,0,0,10.5532,-7.57922,-4.03645,3.86043,-15.309,-3.70545,0,0,0,1.8128,-1.34182,-0.611427,0.586696,-2.76249,-0.614889,
1468353515437952,0.0127769,0.0265364,1.50606,0,0,0,0.0983128,-0.0954122,-0.162272,0.100543,-0.252976,0.0577952,0,0,0,10.8098,-7.83673,-4.17335,4.01801,-15.787,-3.71206,0,0,0,1.91961,-1.4189,-0.652476,0.626089,-2.91797,-0.651977,
1468353515447989,0.0127916,0.0265571,1.50754,0,0,0,0.143013,-0.103804,-0.0237649,0.0975608,-0.290655,-0.0273521,0,0,0,11.0511,-8.03594,-4.35939,4.21611,-16.3307,-3.68161,0,0,0,2.02892,-1.49826,-0.69514,0.667259,-3.07856,-0.688945,
1468353515458029,0.0128426,0.0265723,1.50927,0,0,0,0.113262,-0.0962939,-0.186391,0.0561569,-0.158707,-0.0444926,0,0,0,11.3074,-8.23604,-4.56954,4.36983,-16.78,-3.75346,0,0,0,2.14071,-1.57962,-0.739784,0.710189,-3.24411,-0.726121,
1468353515468073,0.0128695,0.026584,1.51077,0,0,0,0.131854,-0.0729724,-0.00042144,0.106282,-0.168905,-0.0521236,0,0,0,11.5525,-8.40531,-4.75635,4.53227,-17.1076,-3.85007,0,0,0,2.25501,-1.66283,-0.786414,0.754699,-3.41355,-0.764138,
1468353515478110,0.0128914,0.0265915,1.5119,0,0,0,0.107137,-0.159121,-0.0553209,0.0613567,-0.221631,0.0217115,0,0,0,11.7915,-8.6374,-4.8121,4.69991,-17.4982,-3.88049,0,0,0,2.37173,-1.74804,-0.834256,0.80086,-3.58658,-0.802791,
1468353515488146,0.0129176,0.026612,1.51336,0,0,0,0.174643,-0.0507739,-0.17884,0.0614323,-0.228705,0.01473,0,0,0,12.0733,-8.8473,-5.04626,4.8227,-17.9485,-3.84404,0,0,0,2.49106,-1.83546,-0.883548,0.848473,-3.76381,-0.841414,
1468353515498185,0.0129543,0.0266189,1.51481,0,0,0,0.114476,-0.130418,-0.0657231,0.0211249,-0.183897,-0.0145622,0,0,0,12.3624,-9.02849,-5.29082,4.90525,-18.3611,-3.84388,0,0,0,2.61323,-1.92484,-0.935233,0.897113,-3.94536,-0.879853,
1468353515508223,0.012985,0.026632,1.51626,0,0,0,0.232785,-0.0834984,-0.0542606,0.0549546,-0.222665,-0.0571224,0,0,0,12.7097,-9.2424,-5.41081,4.98133,-18.7677,-3.91556,0,0,0,2.7386,-2.0162,-0.988741,0.946546,-4.13101,-0.918651,
1468353515518263,0.0130255,0.0266381,1.51768,0,0,0,0.192503,-0.0811395,0.118725,0.0843068,-0.217659,-0.0863894,0,0,0,13.135,-9.40704,-5.34634,5.12059,-19.208,-4.05907,0,0,0,2.86782,-2.10944,-1.04253,0.997056,-4.32088,-0.958524,
1468353515528303,0.0130496,0.026655,1.51904,0,0,0,0.0921163,0.00627168,-0.23179,0.0596409,-0.170666,-0.00105798,0,0,0,13.4196,-9.48191,-5.45941,5.26454,-19.5963,-4.14652,0,0,0,3.00059,-2.20389,-1.09656,1.04898,-4.51491,-0.999552,
1468353515538341,0.0130842,0.0266559,1.52035,0,0,0,0.112212,-0.0978911,-0.147933,0.106923,-0.277108,0.137482,0,0,0,13.6239,-9.57353,-5.83913,5.4311,-20.0441,-4.0101,0,0,0,3.13581,-2.29917,-1.15305,1.10246,-4.71311,-1.04033,
1468353515548379,0.013124,0.0266711,1.52166,0,0,0,0.182991,-0.18225,0.0448714,0.051147,-0.194146,-0.100846,0,0,0,13.9191,-9.85367,-5.94219,5.58917,-20.5153,-3.97346,0,0,0,3.27352,-2.3963,-1.21196,1.15756,-4.91591,-1.08025,
1468353515558418,0.0131547,0.0266818,1.52294,0,0,0,0.177178,-0.0446284,-0.212512,0.0125923,-0.270172,-0.0623919,0,0,0,14.2793,-10.0805,-6.10983,5.65291,-20.9797,-4.1367,0,0,0,3.41452,-2.49597,-1.27222,1.21377,-5.12338,-1.1208,
1468353515568464,0.0131978,0.0266758,1.5242,0,0,0,0.17707,-0.128724,0.0435796,0.100058,-0.259939,-0.063914,0,0,0,14.6335,-10.2539,-6.27876,5.76556,-21.5098,-4.263,0,0,0,3.55908,-2.59765,-1.33416,1.27086,-5.33583,-1.1628,
1468353515578501,0.0132332,0.0266798,1.52547,0,0,0,0.151495,-0.113744,-0.167216,0.100558,-0.293014,0.0374947,0,0,0,14.9621,-10.4964,-6.4024,5.96618,-22.0627,-4.28942,0,0,0,3.70706,-2.7014,-1.39756,1.32952,-5.55369,-1.20556,
1468353515588541,0.0132702,0.0266963,1.52672,0,0,0,0.209962,0.00833278,-0.180815,0.0732974,-0.211056,-0.179682,0,0,0,15.3236,-10.6018,-6.75043,6.14004,-22.5668,-4.43161,0,0,0,3.85849,-2.80689,-1.46333,1.39005,-5.77684,-1.24917,
1468353515598580,0.0132938,0.0267212,1.52796,0,0,0,0.0716741,-0.0951315,-0.166523,0.0798758,-0.305602,0.0453449,0,0,0,15.6052,-10.6886,-7.09777,6.29321,-23.0835,-4.56595,0,0,0,4.01313,-2.91334,-1.53257,1.45222,-6.00509,-1.29416,
